Name of the Movie;IMDB;Critics(CRS);Dir_Nominated;Dir_Prized;Writ_Nominated;Writ_Prize;Act_Nominated;Acto_Prized;Action;Animation;Comedy;Drama;Other;G;PG;PG-13;R;Production Budget (PB);Box Office(US);;;;;;;;
Sleeping with other people;6,5;64;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3000000;814775;;;;;;;;
Geostorm;5,5;21;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;120 000 000;33000045;;;;;;;;
Hotel Transilvania 2;6,7;42;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;80000000;169692572;;;;;;;;
By the Sea;5,2;44;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;10000000;531009;;;;;;;;
Me and Earl and the Dying Girl;7,8;74;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;8000000;6743776;;;;;;;;
Selfless;6,5;34;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;26000000;12276810;;;;;;;;
No Escape;6,8;38;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;5000000;27285953;;;;;;;;
Paper towns;6,3;56;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;12000000;31990064;;;;;;;;
Project Almanac;6,4;47;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;12000000;22331028;;;;;;;;
The boy next door;4,6;30;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;4000000;35385560;;;;;;;;
Hitman: Agent 47;5,7;28;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;35000000;22464430;;;;;;;;
Incidious Chapter 3;6,1;52;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;10000000;52200504;;;;;;;;
Wild card;5,6;40;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;30000000;6000000;;;;;;;;
The good Dinosaur;6,8;66;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;200000000;123070338;;;;;;;;
Max;6,8;47;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;20000000;42652003;;;;;;;;
Anomalisa;7,2;88;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;8000000;3442820;;;;;;;;
Irrational Man;6,6;53;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;11000000;4027764;;;;;;;;
Split;7,4;62;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;9000000;138120085;;;;;;;;
Sing;7,2;59;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;75000000;270322340;;;;;;;;
LalaLand;8,3;93;0;1;1;1;0;1;0;0;1;0;0;0;0;1;0;30000000;151058124;;;;;;;;
Rogue One;7,9;65;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;200000000;532171696;;;;;;;;
